question,answer,chat
How many people are affected by myotonic dystrophy ?,"Myotonic dystrophy affects at least 1 in 8,000 people worldwide. The prevalence of the two types of myotonic dystrophy varies among different geographic and ethnic populations. In most populations, type 1 appears to be more common than type 2. However, recent studies suggest that type 2 may be as common as type 1 among people in Germany and Finland.","<s>[INST] How many people are affected by myotonic dystrophy ?[/INST] Myotonic dystrophy affects at least 1 in 8,000 people worldwide. The prevalence of the two types of myotonic dystrophy varies among different geographic and ethnic populations. In most populations, type 1 appears to be more common than type 2. However, recent studies suggest that type 2 may be as common as type 1 among people in Germany and Finland.</s>"
What are the treatments for Complex Regional Pain Syndrome ?,"Because there is no cure for CRPS, treatment is aimed at relieving painful symptoms. Doctors may prescribe topical analgesics, antidepressants, corticosteroids, and opioids to relieve pain. However, no single drug or combination of drugs has produced consistent long-lasting improvement in symptoms. Other treatments may include physical therapy, sympathetic nerve block, spinal cord stimulation, and intrathecal drug pumps to deliver opioids and local anesthetic agents via the spinal cord.","<s>[INST] What are the treatments for Complex Regional Pain Syndrome ?[/INST] Because there is no cure for CRPS, treatment is aimed at relieving painful symptoms. Doctors may prescribe topical analgesics, antidepressants, corticosteroids, and opioids to relieve pain. However, no single drug or combination of drugs has produced consistent long-lasting improvement in symptoms. Other treatments may include physical therapy, sympathetic nerve block, spinal cord stimulation, and intrathecal drug pumps to deliver opioids and local anesthetic agents via the spinal cord.</s>"
What are the genetic changes related to hereditary pancreatitis ?,"Mutations in the PRSS1 gene cause most cases of hereditary pancreatitis. The PRSS1 gene provides instructions for making an enzyme called cationic trypsinogen. This enzyme is produced in the pancreas and helps with the digestion of food. When cationic trypsinogen is needed, it is released (secreted) from the pancreas and transported to the small intestine, where it is cut (cleaved) into its working or active form called trypsin. When digestion is complete and trypsin is no longer needed, the enzyme is broken down.  Some PRSS1 gene mutations that cause hereditary pancreatitis result in the production of a cationic trypsinogen enzyme that is prematurely converted to trypsin while it is still in the pancreas. Other mutations prevent trypsin from being broken down. These changes result in elevated levels of trypsin in the pancreas. Trypsin activity in the pancreas can damage pancreatic tissue and can also trigger an immune response, causing inflammation in the pancreas.  It is estimated that 65 to 80 percent of people with hereditary pancreatitis have mutations in the PRSS1 gene. The remaining cases are caused by mutations in other genes, some of which have not been identified.","<s>[INST] What are the genetic changes related to hereditary pancreatitis ?[/INST] Mutations in the PRSS1 gene cause most cases of hereditary pancreatitis. The PRSS1 gene provides instructions for making an enzyme called cationic trypsinogen. This enzyme is produced in the pancreas and helps with the digestion of food. When cationic trypsinogen is needed, it is released (secreted) from the pancreas and transported to the small intestine, where it is cut (cleaved) into its working or active form called trypsin. When digestion is complete and trypsin is no longer needed, the enzyme is broken down.  Some PRSS1 gene mutations that cause hereditary pancreatitis result in the production of a cationic trypsinogen enzyme that is prematurely converted to trypsin while it is still in the pancreas. Other mutations prevent trypsin from being broken down. These changes result in elevated levels of trypsin in the pancreas. Trypsin activity in the pancreas can damage pancreatic tissue and can also trigger an immune response, causing inflammation in the pancreas.  It is estimated that 65 to 80 percent of people with hereditary pancreatitis have mutations in the PRSS1 gene. The remaining cases are caused by mutations in other genes, some of which have not been identified.</s>"
What is (are) Smoking and Youth ?,"Smoking cigarettes has many health risks for everyone. However, the younger you are when you start smoking, the more problems it can cause. People who start smoking before the age of 21 have the hardest time quitting. Teens who smoke are also more likely to use alcohol and illegal drugs.    The problem is not just cigarettes. Spit tobacco, e-cigarettes, and cigars are not safe alternatives to cigarettes. Low-tar and additive-free tobacco products are not safe either.    Young people who do not start using tobacco by age 18 will most likely never start.    Centers for Disease Control and Prevention","<s>[INST] What is (are) Smoking and Youth ?[/INST] Smoking cigarettes has many health risks for everyone. However, the younger you are when you start smoking, the more problems it can cause. People who start smoking before the age of 21 have the hardest time quitting. Teens who smoke are also more likely to use alcohol and illegal drugs.    The problem is not just cigarettes. Spit tobacco, e-cigarettes, and cigars are not safe alternatives to cigarettes. Low-tar and additive-free tobacco products are not safe either.    Young people who do not start using tobacco by age 18 will most likely never start.    Centers for Disease Control and Prevention</s>"
How many people are affected by cerebrotendinous xanthomatosis ?,"The incidence of cerebrotendinous xanthomatosis is estimated to be 3 to 5 per 100,000 people worldwide. This condition is more common in the Moroccan Jewish population with an incidence of 1 in 108 individuals.","<s>[INST] How many people are affected by cerebrotendinous xanthomatosis ?[/INST] The incidence of cerebrotendinous xanthomatosis is estimated to be 3 to 5 per 100,000 people worldwide. This condition is more common in the Moroccan Jewish population with an incidence of 1 in 108 individuals.</s>"
What is the outlook for Frontotemporal Dementia ?,"The outcome for people with FTD is poor. The disease progresses steadily and often rapidly, ranging from less than 2 years in some individuals to more than 10 years in others. Eventually some individuals with FTD will need 24-hour care and monitoring at home or in an institutionalized care setting.","<s>[INST] What is the outlook for Frontotemporal Dementia ?[/INST] The outcome for people with FTD is poor. The disease progresses steadily and often rapidly, ranging from less than 2 years in some individuals to more than 10 years in others. Eventually some individuals with FTD will need 24-hour care and monitoring at home or in an institutionalized care setting.</s>"
Is Fabry disease inherited ?,"How is Fabry disease inherited? Fabry disease is inherited in an X-linked pattern, which means that the gene that causes the condition is located on the X chromosome. In males (who have only one X chromosome), one mutated copy of the gene is enough to cause symptoms of the condition. Because females have two copies of the X chromosome, one mutated copy of the gene in each cell usually leads to less severe symptoms in females than in males, or may cause no symptoms at all.","<s>[INST] Is Fabry disease inherited ?[/INST] How is Fabry disease inherited? Fabry disease is inherited in an X-linked pattern, which means that the gene that causes the condition is located on the X chromosome. In males (who have only one X chromosome), one mutated copy of the gene is enough to cause symptoms of the condition. Because females have two copies of the X chromosome, one mutated copy of the gene in each cell usually leads to less severe symptoms in females than in males, or may cause no symptoms at all.</s>"
What are the symptoms of Microphthalmia syndromic 9 ?,"What are the signs and symptoms of Microphthalmia syndromic 9? The Human Phenotype Ontology provides the following list of signs and symptoms for Microphthalmia syndromic 9. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Aplasia/Hypoplasia affecting the eye 90% Cognitive impairment 90% Abnormal lung lobation 50% Aplasia/Hypoplasia of the lungs 50% Congenital diaphragmatic hernia 50% Abnormal localization of kidney 7.5% Abnormality of female internal genitalia 7.5% Abnormality of the larynx 7.5% Abnormality of the spleen 7.5% Annular pancreas 7.5% Aplasia/Hypoplasia of the pancreas 7.5% Cryptorchidism 7.5% Duodenal stenosis 7.5% Intrauterine growth retardation 7.5% Low-set, posteriorly rotated ears 7.5% Muscular hypotonia 7.5% Renal hypoplasia/aplasia 7.5% Vesicoureteral reflux 7.5% Low-set ears 5% Truncus arteriosus 5% Agenesis of pulmonary vessels - Anophthalmia - Atria septal defect - Autosomal recessive inheritance - Bicornuate uterus - Bilateral lung agenesis - Bilateral microphthalmos - Blepharophimosis - Coarctation of aorta - Diaphragmatic eventration - Horseshoe kidney - Hydronephrosis - Hypoplasia of the uterus - Hypoplastic left atrium - Hypoplastic spleen - Inguinal hernia - Intellectual disability, profound - Patent ductus arteriosus - Pelvic kidney - Pulmonary artery atresia - Pulmonary hypoplasia - Pulmonic stenosis - Renal hypoplasia - Renal malrotation - Respiratory insufficiency - Right aortic arch with mirror image branching - Short stature - Single ventricle - Tetralogy of Fallot - Ventricular septal defect - Wide nasal bridge - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","<s>[INST] What are the symptoms of Microphthalmia syndromic 9 ?[/INST] What are the signs and symptoms of Microphthalmia syndromic 9? The Human Phenotype Ontology provides the following list of signs and symptoms for Microphthalmia syndromic 9. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Aplasia/Hypoplasia affecting the eye 90% Cognitive impairment 90% Abnormal lung lobation 50% Aplasia/Hypoplasia of the lungs 50% Congenital diaphragmatic hernia 50% Abnormal localization of kidney 7.5% Abnormality of female internal genitalia 7.5% Abnormality of the larynx 7.5% Abnormality of the spleen 7.5% Annular pancreas 7.5% Aplasia/Hypoplasia of the pancreas 7.5% Cryptorchidism 7.5% Duodenal stenosis 7.5% Intrauterine growth retardation 7.5% Low-set, posteriorly rotated ears 7.5% Muscular hypotonia 7.5% Renal hypoplasia/aplasia 7.5% Vesicoureteral reflux 7.5% Low-set ears 5% Truncus arteriosus 5% Agenesis of pulmonary vessels - Anophthalmia - Atria septal defect - Autosomal recessive inheritance - Bicornuate uterus - Bilateral lung agenesis - Bilateral microphthalmos - Blepharophimosis - Coarctation of aorta - Diaphragmatic eventration - Horseshoe kidney - Hydronephrosis - Hypoplasia of the uterus - Hypoplastic left atrium - Hypoplastic spleen - Inguinal hernia - Intellectual disability, profound - Patent ductus arteriosus - Pelvic kidney - Pulmonary artery atresia - Pulmonary hypoplasia - Pulmonic stenosis - Renal hypoplasia - Renal malrotation - Respiratory insufficiency - Right aortic arch with mirror image branching - Short stature - Single ventricle - Tetralogy of Fallot - Ventricular septal defect - Wide nasal bridge - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.</s>"
What is (are) Warthin tumor ?,"Warthin tumor is a benign tumor of the salivary gland. The first symptom is usually a painless, slow-growing bump in front of the ear, on the bottom of the mouth, or under the chin. Warthin tumors may increase in size over time, but few become cancerous. Though the cause is currently unknown, smoking is believed to increase the chance of developing Warthin tumor. Treatment may consist of surgery to remove the tumor or careful observation to watch for changes in the tumor over time.","<s>[INST] What is (are) Warthin tumor ?[/INST] Warthin tumor is a benign tumor of the salivary gland. The first symptom is usually a painless, slow-growing bump in front of the ear, on the bottom of the mouth, or under the chin. Warthin tumors may increase in size over time, but few become cancerous. Though the cause is currently unknown, smoking is believed to increase the chance of developing Warthin tumor. Treatment may consist of surgery to remove the tumor or careful observation to watch for changes in the tumor over time.</s>"
What are the treatments for Charcot-Marie-Tooth disease ?,"These resources address the diagnosis or management of Charcot-Marie-Tooth disease:  - Gene Review: Gene Review: Charcot-Marie-Tooth Hereditary Neuropathy Overview  - Gene Review: Gene Review: Charcot-Marie-Tooth Neuropathy Type 1  - Gene Review: Gene Review: Charcot-Marie-Tooth Neuropathy Type 2  - Gene Review: Gene Review: Charcot-Marie-Tooth Neuropathy Type 2A  - Gene Review: Gene Review: Charcot-Marie-Tooth Neuropathy Type 2E/1F  - Gene Review: Gene Review: Charcot-Marie-Tooth Neuropathy Type 4  - Gene Review: Gene Review: Charcot-Marie-Tooth Neuropathy Type 4A  - Gene Review: Gene Review: Charcot-Marie-Tooth Neuropathy Type 4C  - Gene Review: Gene Review: Charcot-Marie-Tooth Neuropathy X Type 1  - Gene Review: Gene Review: Charcot-Marie-Tooth Neuropathy X Type 5  - Gene Review: Gene Review: DNM2-Related Intermediate Charcot-Marie-Tooth Neuropathy  - Gene Review: Gene Review: GARS-Associated Axonal Neuropathy  - Gene Review: Gene Review: TRPV4-Associated Disorders  - Genetic Testing Registry: Charcot-Marie-Tooth disease  - Genetic Testing Registry: Charcot-Marie-Tooth disease dominant intermediate 3  - Genetic Testing Registry: Charcot-Marie-Tooth disease type 1B  - Genetic Testing Registry: Charcot-Marie-Tooth disease type 2B  - Genetic Testing Registry: Charcot-Marie-Tooth disease type 2B1  - Genetic Testing Registry: Charcot-Marie-Tooth disease type 2B2  - Genetic Testing Registry: Charcot-Marie-Tooth disease type 2C  - Genetic Testing Registry: Charcot-Marie-Tooth disease type 2D  - Genetic Testing Registry: Charcot-Marie-Tooth disease type 2E  - Genetic Testing Registry: Charcot-Marie-Tooth disease type 2F  - Genetic Testing Registry: Charcot-Marie-Tooth disease type 2I  - Genetic Testing Registry: Charcot-Marie-Tooth disease type 2J  - Genetic Testing Registry: Charcot-Marie-Tooth disease type 2K  - Genetic Testing Registry: Charcot-Marie-Tooth disease type 2P  - Genetic Testing Registry: Charcot-Marie-Tooth disease, X-linked recessive, type 5  - Genetic Testing Registry: Charcot-Marie-Tooth disease, axonal, type 2O  - Genetic Testing Registry: Charcot-Marie-Tooth disease, axonal, with vocal cord paresis, autosomal recessive  - Genetic Testing Registry: Charcot-Marie-Tooth disease, dominant intermediate C  - Genetic Testing Registry: Charcot-Marie-Tooth disease, dominant intermediate E  - Genetic Testing Registry: Charcot-Marie-Tooth disease, recessive intermediate A  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type 1C  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type 2A1  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type 2A2  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type 2L  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type 2N  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type 4A  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type 4B1  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type 4B2  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type 4C  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type 4D  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type 4H  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type 4J  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type I  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type IA  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type ID  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type IE  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type IF  - Genetic Testing Registry: Congenital hypomyelinating neuropathy  - Genetic Testing Registry: DNM2-related intermediate Charcot-Marie-Tooth neuropathy  - Genetic Testing Registry: Dejerine-Sottas disease  - Genetic Testing Registry: Roussy-Lvy syndrome  - Genetic Testing Registry: X-linked hereditary motor and sensory neuropathy  - MedlinePlus Encyclopedia: Charcot-Marie-Tooth Disease  - MedlinePlus Encyclopedia: Hammer Toe  - MedlinePlus Encyclopedia: High Arch   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care","<s>[INST] What are the treatments for Charcot-Marie-Tooth disease ?[/INST] These resources address the diagnosis or management of Charcot-Marie-Tooth disease:  - Gene Review: Gene Review: Charcot-Marie-Tooth Hereditary Neuropathy Overview  - Gene Review: Gene Review: Charcot-Marie-Tooth Neuropathy Type 1  - Gene Review: Gene Review: Charcot-Marie-Tooth Neuropathy Type 2  - Gene Review: Gene Review: Charcot-Marie-Tooth Neuropathy Type 2A  - Gene Review: Gene Review: Charcot-Marie-Tooth Neuropathy Type 2E/1F  - Gene Review: Gene Review: Charcot-Marie-Tooth Neuropathy Type 4  - Gene Review: Gene Review: Charcot-Marie-Tooth Neuropathy Type 4A  - Gene Review: Gene Review: Charcot-Marie-Tooth Neuropathy Type 4C  - Gene Review: Gene Review: Charcot-Marie-Tooth Neuropathy X Type 1  - Gene Review: Gene Review: Charcot-Marie-Tooth Neuropathy X Type 5  - Gene Review: Gene Review: DNM2-Related Intermediate Charcot-Marie-Tooth Neuropathy  - Gene Review: Gene Review: GARS-Associated Axonal Neuropathy  - Gene Review: Gene Review: TRPV4-Associated Disorders  - Genetic Testing Registry: Charcot-Marie-Tooth disease  - Genetic Testing Registry: Charcot-Marie-Tooth disease dominant intermediate 3  - Genetic Testing Registry: Charcot-Marie-Tooth disease type 1B  - Genetic Testing Registry: Charcot-Marie-Tooth disease type 2B  - Genetic Testing Registry: Charcot-Marie-Tooth disease type 2B1  - Genetic Testing Registry: Charcot-Marie-Tooth disease type 2B2  - Genetic Testing Registry: Charcot-Marie-Tooth disease type 2C  - Genetic Testing Registry: Charcot-Marie-Tooth disease type 2D  - Genetic Testing Registry: Charcot-Marie-Tooth disease type 2E  - Genetic Testing Registry: Charcot-Marie-Tooth disease type 2F  - Genetic Testing Registry: Charcot-Marie-Tooth disease type 2I  - Genetic Testing Registry: Charcot-Marie-Tooth disease type 2J  - Genetic Testing Registry: Charcot-Marie-Tooth disease type 2K  - Genetic Testing Registry: Charcot-Marie-Tooth disease type 2P  - Genetic Testing Registry: Charcot-Marie-Tooth disease, X-linked recessive, type 5  - Genetic Testing Registry: Charcot-Marie-Tooth disease, axonal, type 2O  - Genetic Testing Registry: Charcot-Marie-Tooth disease, axonal, with vocal cord paresis, autosomal recessive  - Genetic Testing Registry: Charcot-Marie-Tooth disease, dominant intermediate C  - Genetic Testing Registry: Charcot-Marie-Tooth disease, dominant intermediate E  - Genetic Testing Registry: Charcot-Marie-Tooth disease, recessive intermediate A  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type 1C  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type 2A1  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type 2A2  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type 2L  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type 2N  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type 4A  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type 4B1  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type 4B2  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type 4C  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type 4D  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type 4H  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type 4J  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type I  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type IA  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type ID  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type IE  - Genetic Testing Registry: Charcot-Marie-Tooth disease, type IF  - Genetic Testing Registry: Congenital hypomyelinating neuropathy  - Genetic Testing Registry: DNM2-related intermediate Charcot-Marie-Tooth neuropathy  - Genetic Testing Registry: Dejerine-Sottas disease  - Genetic Testing Registry: Roussy-Lvy syndrome  - Genetic Testing Registry: X-linked hereditary motor and sensory neuropathy  - MedlinePlus Encyclopedia: Charcot-Marie-Tooth Disease  - MedlinePlus Encyclopedia: Hammer Toe  - MedlinePlus Encyclopedia: High Arch   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care</s>"
What are the stages of Osteosarcoma and Malignant Fibrous Histiocytoma of Bone ?,"Key Points
                    - After osteosarcoma or malignant fibrous histiocytoma (MFH) has been diagnosed, tests are done to find out if cancer cells have spread to other parts of the body.     - There are three ways that cancer spreads in the body.    - Cancer may spread from where it began to other parts of the body.    - Osteosarcoma and MFH are described as either localized or metastatic.
                
                
                    After osteosarcoma or malignant fibrous histiocytoma (MFH) has been diagnosed, tests are done to find out if cancer cells have spread to other parts of the body.
                    The process used to find out if cancer has spread to other parts of the body is called staging. For osteosarcoma and malignant fibrous histiocytoma (MFH), most patients are grouped according to whether cancer is found in only one part of the body or has spread.    The following tests and procedures may be used:         -   X-ray : An x-ray of the organs, such as the chest, and bones inside the body. An x-ray is a type of energy beam that can go through the body and onto film, making a picture of areas inside the body. X-rays will be taken of the chest and the area where the tumor formed.    -   CT scan (CAT scan): A procedure that makes a series of detailed pictures of areas inside the body, such as the chest, taken from different angles. The pictures are made by a computer linked to an x-ray machine. A dye may be injected into a vein or swallowed to help the organs or tissues show up more clearly. This procedure is also called computed tomography, computerized tomography, or computerized axial tomography. Pictures will be taken of the chest and the area where the tumor formed.    -   PET-CT scan : A procedure that combines the pictures from a positron emission tomography (PET) scan and a computed tomography (CT) scan. The PET and CT scans are done at the same time on the same machine. The pictures from both scans are combined to make a more detailed picture than either test would make by itself. A PET scan is a procedure to find malignant tumor cells in the body. A small amount of radioactive glucose (sugar) is injected into a vein. The PET scanner rotates around the body and makes a picture of where glucose is being used in the body. Malignant tumor cells show up brighter in the picture because they are more active and take up more glucose than normal cells do.    -   MRI (magnetic resonance imaging): A procedure that uses a magnet, radio waves, and a computer to make a series of detailed pictures of areas inside the body. This procedure is also called nuclear magnetic resonance imaging (NMRI).    -   Bone scan : A procedure to check if there are rapidly dividing cells, such as cancer cells, in the bone. A very small amount of radioactive material is injected into a vein and travels through the bloodstream. The radioactive material collects in the bones and is detected by a scanner.
                
                
                    There are three ways that cancer spreads in the body.
                    Cancer can spread through tissue, the lymph system, and the blood:         - Tissue. The cancer spreads from where it began by growing into nearby areas.     - Lymph system. The cancer spreads from where it began by getting into the lymph system. The cancer travels through the lymph vessels to other parts of the body.     - Blood. The cancer spreads from where it began by getting into the blood. The cancer travels through the blood vessels to other parts of the body.
                
                
                    Cancer may spread from where it began to other parts of the body.
                    When cancer spreads to another part of the body, it is called metastasis. Cancer cells break away from where they began (the primary tumor) and travel through the lymph system or blood.         - Lymph system. The cancer gets into the lymph system, travels through the lymph vessels, and forms a tumor (metastatic tumor) in another part of the body.    - Blood. The cancer gets into the blood, travels through the blood vessels, and forms a tumor (metastatic tumor) in another part of the body.        The metastatic tumor is the same type of cancer as the primary tumor. For example, if osteosarcoma spreads to the lung, the cancer cells in the lung are actually osteosarcoma cells. The disease is metastatic osteosarcoma, not lung cancer.
                
                
                    Osteosarcoma and MFH are described as either localized or metastatic.
                    -  Localized osteosarcoma or MFH has not spread out of the bone where the cancer started. There may be one or more areas of cancer in the bone that can be removed during surgery.    - Metastatic osteosarcoma or MFH has spread from the bone in which the cancer began to other parts of the body. The cancer most often spreads to the lungs. It may also spread to other bones.","<s>[INST] What are the stages of Osteosarcoma and Malignant Fibrous Histiocytoma of Bone ?[/INST] Key Points
                    - After osteosarcoma or malignant fibrous histiocytoma (MFH) has been diagnosed, tests are done to find out if cancer cells have spread to other parts of the body.     - There are three ways that cancer spreads in the body.    - Cancer may spread from where it began to other parts of the body.    - Osteosarcoma and MFH are described as either localized or metastatic.
                
                
                    After osteosarcoma or malignant fibrous histiocytoma (MFH) has been diagnosed, tests are done to find out if cancer cells have spread to other parts of the body.
                    The process used to find out if cancer has spread to other parts of the body is called staging. For osteosarcoma and malignant fibrous histiocytoma (MFH), most patients are grouped according to whether cancer is found in only one part of the body or has spread.    The following tests and procedures may be used:         -   X-ray : An x-ray of the organs, such as the chest, and bones inside the body. An x-ray is a type of energy beam that can go through the body and onto film, making a picture of areas inside the body. X-rays will be taken of the chest and the area where the tumor formed.    -   CT scan (CAT scan): A procedure that makes a series of detailed pictures of areas inside the body, such as the chest, taken from different angles. The pictures are made by a computer linked to an x-ray machine. A dye may be injected into a vein or swallowed to help the organs or tissues show up more clearly. This procedure is also called computed tomography, computerized tomography, or computerized axial tomography. Pictures will be taken of the chest and the area where the tumor formed.    -   PET-CT scan : A procedure that combines the pictures from a positron emission tomography (PET) scan and a computed tomography (CT) scan. The PET and CT scans are done at the same time on the same machine. The pictures from both scans are combined to make a more detailed picture than either test would make by itself. A PET scan is a procedure to find malignant tumor cells in the body. A small amount of radioactive glucose (sugar) is injected into a vein. The PET scanner rotates around the body and makes a picture of where glucose is being used in the body. Malignant tumor cells show up brighter in the picture because they are more active and take up more glucose than normal cells do.    -   MRI (magnetic resonance imaging): A procedure that uses a magnet, radio waves, and a computer to make a series of detailed pictures of areas inside the body. This procedure is also called nuclear magnetic resonance imaging (NMRI).    -   Bone scan : A procedure to check if there are rapidly dividing cells, such as cancer cells, in the bone. A very small amount of radioactive material is injected into a vein and travels through the bloodstream. The radioactive material collects in the bones and is detected by a scanner.
                
                
                    There are three ways that cancer spreads in the body.
                    Cancer can spread through tissue, the lymph system, and the blood:         - Tissue. The cancer spreads from where it began by growing into nearby areas.     - Lymph system. The cancer spreads from where it began by getting into the lymph system. The cancer travels through the lymph vessels to other parts of the body.     - Blood. The cancer spreads from where it began by getting into the blood. The cancer travels through the blood vessels to other parts of the body.
                
                
                    Cancer may spread from where it began to other parts of the body.
                    When cancer spreads to another part of the body, it is called metastasis. Cancer cells break away from where they began (the primary tumor) and travel through the lymph system or blood.         - Lymph system. The cancer gets into the lymph system, travels through the lymph vessels, and forms a tumor (metastatic tumor) in another part of the body.    - Blood. The cancer gets into the blood, travels through the blood vessels, and forms a tumor (metastatic tumor) in another part of the body.        The metastatic tumor is the same type of cancer as the primary tumor. For example, if osteosarcoma spreads to the lung, the cancer cells in the lung are actually osteosarcoma cells. The disease is metastatic osteosarcoma, not lung cancer.
                
                
                    Osteosarcoma and MFH are described as either localized or metastatic.
                    -  Localized osteosarcoma or MFH has not spread out of the bone where the cancer started. There may be one or more areas of cancer in the bone that can be removed during surgery.    - Metastatic osteosarcoma or MFH has spread from the bone in which the cancer began to other parts of the body. The cancer most often spreads to the lungs. It may also spread to other bones.</s>"
How many people are affected by familial male-limited precocious puberty ?,Familial male-limited precocious puberty is a rare disorder; its prevalence is unknown.,<s>[INST] How many people are affected by familial male-limited precocious puberty ?[/INST] Familial male-limited precocious puberty is a rare disorder; its prevalence is unknown.</s>
What is (are) Multiple sclerosis ?,"Multiple sclerosis (MS) is a degenerative disorder that affects the central nervous system, specifically the brain and the spinal cord. The disorder is characterized by destruction of the myelin, the fatty tissue that surrounds and protects the nerve fibers and promotes the transmission of nerve impulses, and damage to nerve cells. The symptoms vary widely from person to person, and may include sensory disturbances in the limbs, problems with muscle control, tremors, muscle stiffness (spasticity), exaggerated reflexes (hyperreflexia), weakness, difficulty walking, poor bladder control, and vision problems. Most patients have periods during which they have symptoms (clinical attacks). The clinical attacks are typically followed by periods without any symptoms (remission). After several years, the symptoms worsen continuously. Multiple sclerosis is considered an autoimmune disorder but the exact cause is unknown. Risk factors for developing multiple sclerosis include genetic factors like changes in the HLA-DRB1 gene and in the IL7R gene and environmental factors, such as exposure to the Epstein-Barr virus, low levels of vitamin D, and smoking. The goal of treatment of MS is to decrease attacks and the inflammation within the central nervous system.","<s>[INST] What is (are) Multiple sclerosis ?[/INST] Multiple sclerosis (MS) is a degenerative disorder that affects the central nervous system, specifically the brain and the spinal cord. The disorder is characterized by destruction of the myelin, the fatty tissue that surrounds and protects the nerve fibers and promotes the transmission of nerve impulses, and damage to nerve cells. The symptoms vary widely from person to person, and may include sensory disturbances in the limbs, problems with muscle control, tremors, muscle stiffness (spasticity), exaggerated reflexes (hyperreflexia), weakness, difficulty walking, poor bladder control, and vision problems. Most patients have periods during which they have symptoms (clinical attacks). The clinical attacks are typically followed by periods without any symptoms (remission). After several years, the symptoms worsen continuously. Multiple sclerosis is considered an autoimmune disorder but the exact cause is unknown. Risk factors for developing multiple sclerosis include genetic factors like changes in the HLA-DRB1 gene and in the IL7R gene and environmental factors, such as exposure to the Epstein-Barr virus, low levels of vitamin D, and smoking. The goal of treatment of MS is to decrease attacks and the inflammation within the central nervous system.</s>"
